Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_G_X,SCH_G_Y,SCH_G_Z,ADXL_G_X,ADXL_G_Y,ADXL_G_Z,BNO_G_X,BNO_G_Y,BNO_G_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
1,B,3871800,4288,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,3871800,677,0.480,0.800,1.440,0.054,-0.227,-0.943,,,,,,,,,,,,
1,A,7426628,996,,,,,,,0.096,-0.227,-0.990,,,,,,,,,
1,B,3875865,2288,,,,,,,,,,0.039,-0.188,-0.986,,,,,,
1,S,3875865,4065,0.800,1.120,1.760,0.056,-0.226,-0.946,,,,,,,,,,,,
1,A,7428619,996,,,,,,,0.098,-0.226,-0.992,,,,,,,,,
1,B,3877897,2288,,,,,,,,,,,,,,,,66.938,-90.938,10.562
1,S,3877897,2032,0.800,1.120,2.080,0.057,-0.226,-0.946,,,,,,,,,,,,
1,A,7431606,996,,,,,,,0.098,-0.227,-0.993,,,,,,,,,
1,B,3880606,2288,,,,,,,,,,0.039,-0.186,-0.991,,,,,,
1,S,3880606,2709,0.480,0.800,2.080,0.056,-0.226,-0.945,,,,,,,,,,,,
1,A,7433597,996,,,,,,,0.098,-0.229,-0.995,,,,,,,,,
1,B,3882638,4293,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,3882638,2032,0.160,0.800,2.080,0.055,-0.226,-0.945,,,,,,,,,,,,
1,A,7437579,995,,,,,,,0.100,-0.228,-0.995,,,,,,,,,
1,B,3886702,2288,,,,,,,,,,,,,,,,66.938,-90.938,10.562
1,S,3886702,4064,0.160,1.120,2.400,0.054,-0.226,-0.947,,,,,,,,,,,,
1,A,7440566,995,,,,,,,0.098,-0.229,-0.994,,,,,,,,,
1,B,3889412,2288,,,,,,,,,,0.040,-0.188,-0.995,,,,,,
1,S,3889412,2710,0.480,1.120,2.080,0.054,-0.226,-0.947,,,,,,,,,,,,
1,A,7442557,995,,,,,,,0.099,-0.228,-0.995,,,,,,,,,
1,B,3891444,4288,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,3891444,2032,0.480,0.800,1.760,0.054,-0.226,-0.947,,,,,,,,,,,,
1,A,7446540,996,,,,,,,0.100,-0.229,-0.993,,,,,,,,,
1,B,3895508,3288,,,,,,,,,,,,,,,,68.188,-91.000,10.000
1,S,3895508,4064,0.480,1.120,2.080,0.055,-0.228,-0.946,,,,,,,,,,,,
1,A,7450522,995,,,,,,,0.098,-0.232,-0.992,,,,,,,,,
1,B,3898895,2288,,,,,,,,,,0.037,-0.190,-0.990,,,,,,
